date,time,object_id,EPOCH,mean_motion,eccentricity
01-11-2021,06:46:11,1992-072J,2021-10-31T22:46:50.340864,2.92169986,0.6528926
01-11-2021,04:58:37,1979-028C,2021-10-31T16:32:17.360448,13.75497324,0.003072
01-11-2021,06:26:11,2001-015A,2021-11-01T05:22:43.421952,1.03822361,0.0237386
31-10-2021,18:07:15,1999-057MB,2021-10-31T11:11:24.198720,14.77590694,0.0060618
01-11-2021,04:58:37,1999-057MC,2021-10-31T17:46:46.681248,14.72448242,0.0062255
01-11-2021,06:36:11,1999-057MD,2021-11-01T04:51:23.912640,14.38476477,0.0085229
31-10-2021,18:07:15,2001-018A,2021-10-31T12:44:28.864032,0.99004751,0.000347
01-11-2021,04:58:37,2001-018B,2021-10-31T19:33:02.827584,2.23844183,0.7052274
25-10-2021,02:11:01,1965-108AS,2021-10-24T21:30:30.352032,2.73852195,0.6743901
01-11-2021,04:58:37,2001-019A,2021-10-31T16:20:45.741408,1.00271049,0.0003655
31-10-2021,18:07:15,2001-019D,2021-10-31T08:59:17.060928,1.86700772,0.5146261
31-10-2021,18:07:15,1965-108AW,2021-10-31T09:06:11.151072,2.64921844,0.6809499
24-10-2021,22:46:11,1965-108AX,2021-10-24T20:54:48.641184,2.6021208,0.6769548
28-10-2021,19:47:07,1965-108AY,2021-10-28T06:39:52.593984,2.58770109,0.6297464
01-11-2021,06:36:11,1965-108AZ,2021-10-31T23:19:57.436320,3.34969965,0.6343318
01-11-2021,06:46:11,1965-108BA,2021-10-31T17:56:06.421920,8.05750932,0.365277
30-10-2021,14:46:12,1965-108BB,2021-10-30T12:18:14.600736,2.68126894,0.6576568
01-11-2021,14:56:11,1984-035C,2021-11-01T06:16:13.747872,2.79534088,0.6824598
01-11-2021,04:58:37,1981-016J,2021-10-31T18:24:22.487616,2.05139493,0.6316531
01-11-2021,14:56:11,1985-056M,2021-11-01T01:43:12.727776,2.26280952,0.7003414
19-10-2021,17:52:15,1992-021Q,2021-10-19T06:02:50.952768,2.2309136,0.6983077
24-10-2021,17:20:17,1992-019D,2021-10-24T10:17:00.487104,8.50331215,0.35186
01-11-2021,04:58:37,1991-015L,2021-10-31T16:37:55.067808,2.87979738,0.6632302
01-11-2021,04:58:37,1988-081G,2021-10-31T17:36:52.346880,2.17396536,0.7031328
30-10-2021,22:26:11,1988-081H,2021-10-30T18:54:52.856928,2.17367064,0.70429
01-11-2021,04:58:37,1988-109L,2021-10-31T18:00:06.443712,2.14311986,0.7214417
31-10-2021,18:07:15,1988-063J,2021-10-31T09:15:02.278656,2.68103565,0.6924344
01-11-2021,06:46:11,1988-109M,2021-10-31T22:48:25.054272,2.16307511,0.7165926
01-11-2021,04:58:37,1988-109P,2021-10-31T19:13:12.194976,2.21703772,0.7020744
28-10-2021,19:47:07,1989-001P,2021-10-28T02:18:16.131456,10.37994013,0.1897648
01-11-2021,04:58:37,1966-040L,2021-10-31T19:54:15.921216,13.49629641,0.0067408
31-10-2021,18:07:15,1966-076H,2021-10-30T01:41:07.348416,13.65655702,0.0041863
01-11-2021,06:36:11,2001-023A,2021-11-01T00:37:49.137024,13.73958733,0.0034468
01-11-2021,06:36:11,2001-023B,2021-10-31T23:41:49.542144,13.75622682,0.0023215
31-10-2021,18:07:15,1970-025QQ,2021-10-31T09:35:39.084288,14.29800183,0.0076344
01-11-2021,04:58:37,1975-052KC,2021-10-31T15:44:53.181312,12.83514712,0.0312877
01-11-2021,14:46:11,1975-052KD,2021-11-01T11:32:20.015808,13.50634323,0.0048916
01-11-2021,04:58:37,2001-024A,2021-10-31T18:48:35.205984,1.00269563,9.23E-05
01-11-2021,06:26:11,1975-052KE,2021-11-01T03:28:31.056096,12.97965893,0.0298019
31-10-2021,18:07:15,1975-052KF,2021-10-31T07:10:20.530272,13.28759107,0.011114
29-10-2021,18:22:41,1975-052KG,2021-10-29T03:01:27.702912,13.92370147,0.0064857
01-11-2021,04:58:37,1975-052KH,2021-10-31T19:31:15.159360,13.09808972,0.0256043
