inclination,object_id,name
82.9193,1979-028C,CALSPHERE 2
98.4781,1999-057MB,TEMPSAT 1
98.4232,1999-057MC,CALSPHERE 4A
98.7597,1999-057MD,OPS 5712 (P/L 160)
67.7305,1981-016J,TDRS 3
65.6102,1989-001P,TDRS 6
100.3344,1966-040L,SCD 1
88.8479,1966-076H,UFO 2 (USA 95)
82.9319,2001-023A,STELLA
82.9284,2001-023B,EYESAT A (AO-27)
100.0116,1970-025QQ,ITAMSAT (IO-26)
99.7002,1975-052KC,USA 99 (MILSTAR-1 1)
100.0888,1975-052KD,RADIO ROSTO (RS-15)
99.6437,1975-052KE,TDRS 7
99.6563,1975-052KF,USA 115 (MILSTAR-1 2)
99.5663,1975-052KG,POLAR
99.599,1975-052KH,INMARSAT 3-F1
99.7157,1975-052KJ,USA 119
99.8015,1975-052KK,JAS-2 (FO-29)
99.627,1975-052KL,INMARSAT 3-F2
99.6973,1975-052KM,INMARSAT 3-F3
99.948,1975-052KN,NAVSTAR 43 (USA 132)
99.6737,1975-052KP,FORTE
99.9042,1975-052KQ,AMC-3
99.7373,1975-052KR,USA 134
99.2269,1975-052KS,ORBCOMM FM06
100.0137,1975-052KT,INMARSAT 3-F5
99.7126,1975-052KU,ORBCOMM FM04
99.9121,1975-052KV,CELESTIS-02 & TAURUS R/B
99.6999,1975-052KW,TECHSAT 1B (GO-32)
99.7729,1975-052KX,WESTPAC
99.7712,1975-052KY,ORBCOMM FM19
99.1694,1975-052KZ,ORBCOMM FM20
99.7607,1975-052LA,ORBCOMM FM27
99.8534,1975-052LB,SCD 2
81.2801,1975-124C,ISS (ZARYA)
44.8649,2001-026A,ABS-6
44.9754,2001-026B,NAVSTAR 46 (USA 145)
98.6123,1978-026HV,UFO 10 (USA 146)
64.9639,1981-021Q,CLUSTER II-FM8 (TANGO)
73.0241,1980-085H,NSS-11
63.2797,1985-093C,USA 153
67.0014,2001-043B,ODIN
67.0504,2001-043C,USA 157 (MILSTAR-2 2)
67.0552,2001-043D,BSAT-2A
97.7917,2001-049A,USA 159 (DSP 21)
97.7874,2001-049B,INTELSAT 902 (IS-902)
97.7823,2001-049C,PCSAT (NO-44)
97.8254,2001-049D,PROBA-1
100.3465,1966-040M,TIMED
64.3371,1977-047E,MAROC-TUBSAT
71,1993-016AJ,COSMOS 2386
64.7735,1978-066F,USA 164 (MILSTAR-2 3)
71.1117,1992-093JK,INTELSAT 904 (IS-904)
73.5985,1987-020DU,AQUA
63.1662,2001-053A,INTELSAT 905 (IS-905)
63.1702,2001-053B,GALAXY 3C (G-3C)
63.1628,2001-053C,COSMOS 2390
63.1838,2001-053F,COSMOS 2391
66.0423,2001-055A,INTELSAT 906 (IS-906)
74.0744,2001-055B,LATINSAT B
66.0408,2001-055D,SAUDISAT 1C (SO-50)
99.6471,2001-056A,LATINSAT A
99.5786,2001-056B,NIMIQ 2
99.5854,2001-056C,CORIOLIS
99.5924,2001-056D,SORCE
99.5457,2001-056E,NAVSTAR 51 (USA 166)
99.5448,2001-056F,USA 167
99.3303,2001-056G,NAVSTAR 52 (USA 168)
82.5482,2001-058A,USA 176 (DSP 22)
82.5408,2001-058B,ABS-4 (MOBISAT-1)
82.5473,2001-058C,EUTELSAT 7A
82.5396,2001-058D,NAVSTAR 54 (USA 177)
82.5447,2001-058E,SHIYAN-1 (SY-1)
82.5447,2001-058F,AMC-11
82.5405,2001-058G,INTELSAT 10-02
97.9739,2001-049AH,NAVSTAR 55 (USA 178)
97.5571,2001-049AR,APRIZESAT 2
97.7681,2001-049BP,SAUDICOMSAT 1
97.1787,2001-049BR,SAUDICOMSAT 2
97.4108,2001-049BT,SAUDISAT 2
98.2072,2001-049BU,APRIZESAT 1
98.2354,2001-049BW,AURA
97.6109,2001-049BX,ANIK F2
