altitude_km,orbital_band,congestion_risk,country,OBJECT_ID
977.090481177178,LEO-Polar,LOW,United States,1992-072J
1061.68970894784,LEO-Polar,LOW,United States,1979-028C
2787.87663528648,MEO,LOW,United States,2001-015A
1133.3003555432,LEO-Polar,HIGH,United States,1999-057MB
1123.36127365027,LEO-Polar,HIGH,United States,1999-057MC
650.802547287138,LEO-Inclined,MEDIUM,United States,1999-057MD
33401.1931628007,MEO,LOW,United States,2001-018A
895.444439112733,LEO-Inclined,MEDIUM,United States,2001-018B
904.966038403503,LEO-Inclined,LOW,United States,1965-108AS
36388.8488894624,HEO,LOW,United States,2001-019A
766.907757081606,LEO-Polar,MEDIUM,United States,2001-019D
1449.08568642638,LEO-Polar,LOW,United States,1965-108AW
955.577233782785,LEO-Inclined,LOW,France,1965-108AX
5893.04792519514,MEO,LOW,United States,1965-108AY
36381.0807146062,HEO,LOW,United States,1965-108AZ
19723.8756107031,MEO,MEDIUM,Germany,1965-108BA
598.117420509675,LEO-Polar,HIGH,United Kingdom,1965-108BB
1487.52511509319,LEO-Inclined,LOW,Japan,1984-035C
35787.696438484,GEO-Inclined,HIGH,United States,1981-016J
19125.5850082932,MEO,MEDIUM,cis,1985-056M
19121.7174356337,MEO,MEDIUM,cis,1992-021Q
35787.866894948,GEO-Inclined,HIGH,United States,1992-019D
778.325197919403,LEO-Polar,MEDIUM,Argentina,1991-015L
483.88676125038,LEO-Equatorial,HIGH,United States,1988-081G
35786.1343749371,GEO-Inclined,HIGH,United Kingdom,1988-081H
36320.3638248104,HEO,LOW,United States,1988-109L
35787.5557010572,GEO-Inclined,HIGH,United States,1988-063J
36092.685093909,HEO,LOW,United States,1988-109M
5783.75179833276,MEO,LOW,Italy,1988-109P
35787.2212441149,GEO-Inclined,HIGH,United States,1989-001P
738.868955878112,LEO-Equatorial,MEDIUM,Brazil,1966-040L
35786.7822268794,GEO-Inclined,HIGH,United States,1966-076H
800.227655446907,LEO-Polar,MEDIUM,France,2001-023A
788.875021166298,LEO-Polar,MEDIUM,United States,2001-023B
787.477080225534,LEO-Polar,MEDIUM,Italy,1970-025QQ
35786.0959699564,GEO-Inclined,HIGH,United States,1975-052KC
2022.32375736688,MEO,LOW,cis,1975-052KD
35786.1842735098,GEO-Inclined,HIGH,United States,2001-024A
35784.7605402021,MEO,HIGH,United States,1975-052KE
35786.2779038143,GEO-Inclined,HIGH,United States,1975-052KF
29112.6158866947,MEO,LOW,United States,1975-052KG
35863.6080731809,GEO-Inclined,HIGH,im,1975-052KH
1089.11527854575,LEO-Inclined,LOW,United States,1975-052KJ
1060.29258324595,LEO-Polar,LOW,Japan,1975-052KK
35864.0919000516,GEO-Inclined,HIGH,im,1975-052KL
35869.046994474,GEO-Inclined,HIGH,im,1975-052KM
20182.2422473033,MEO,MEDIUM,United States,1975-052KN
799.090639632668,LEO-Inclined,MEDIUM,United States,1975-052KP
35786.9386569976,GEO-Inclined,HIGH,ses,1975-052KQ
35786.3754592953,GEO-Inclined,HIGH,United States,1975-052KR
736.652879817043,LEO-Inclined,MEDIUM,orb,1975-052KS
35786.1870768048,GEO-Inclined,HIGH,im,1975-052KT
774.70092113058,LEO-Retrograde,MEDIUM,orb,1975-052KU
817.274304650512,LEO-Retrograde,MEDIUM,United States,1975-052KV
810.644313858487,LEO-Polar,MEDIUM,Israel,1975-052KW
815.110840542331,LEO-Polar,MEDIUM,Australia,1975-052KX
762.461121761321,LEO-Equatorial,MEDIUM,orb,1975-052KY
766.653342801691,LEO-Equatorial,MEDIUM,orb,1975-052KZ
763.458146309168,LEO-Inclined,MEDIUM,orb,1975-052LA
740.743669165547,LEO-Equatorial,MEDIUM,Brazil,1975-052LB
417.465363176219,LEO-Inclined,HIGH,cis,1975-124C
544.160666819735,LEO-Inclined,HIGH,United States,1992-072K
